,id,sentiment_scores,number of reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,neighbourhood_cleansed
112,611839,0.28534920634920635,63,96.0,10.0,10.0,10.0,10.0,10.0,10.0,$40.00,North Center
113,618365,0.3676129032258066,31,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$35.00,Albany Park
114,626287,0.31615789473684197,171,92.0,9.0,9.0,10.0,10.0,9.0,9.0,$40.00,Logan Square
115,626296,0.33099999999999996,28,85.0,9.0,9.0,9.0,10.0,9.0,9.0,$48.00,West Town
116,628149,0.308625,32,90.0,8.0,9.0,10.0,10.0,9.0,8.0,$65.00,West Town
117,628299,0.2791958762886598,97,93.0,10.0,9.0,10.0,10.0,9.0,9.0,$84.00,Lower West Side
118,629745,0.31805063291139246,158,95.0,10.0,9.0,10.0,10.0,9.0,10.0,$129.00,West Town
119,634310,0.3325208333333334,48,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$70.00,Edgewater
120,641526,0.24168571428571436,70,84.0,8.0,8.0,9.0,9.0,8.0,9.0,$39.00,Douglas
121,641532,0.2562352941176471,68,86.0,8.0,8.0,8.0,9.0,8.0,9.0,$29.00,Douglas
122,642053,0.36233333333333334,3,87.0,9.0,9.0,10.0,10.0,10.0,10.0,$189.00,West Town
123,642065,0.30074999999999996,16,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$199.00,West Town
124,642071,0.259125,8,83.0,10.0,10.0,10.0,10.0,9.0,9.0,$109.00,West Town
125,651742,0.3109444444444445,36,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$75.00,Forest Glen
126,659520,0.2956470588235294,17,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$100.00,Lincoln Park
127,662034,0.3303529411764705,34,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$65.00,Forest Glen
128,675641,0.3183056768558951,229,95.0,10.0,10.0,10.0,10.0,10.0,10.0,$54.00,Lake View
129,681402,0.30636842105263157,19,98.0,10.0,9.0,10.0,10.0,10.0,10.0,$160.00,Loop
130,681842,0.29954545454545456,11,98.0,10.0,10.0,10.0,10.0,9.0,9.0,$65.00,West Ridge
131,686185,0.2845348837209303,86,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$53.00,West Town
132,689419,0.246625,16,83.0,9.0,7.0,10.0,10.0,8.0,8.0,$139.00,Austin
133,696395,0.3284761904761905,21,94.0,10.0,9.0,10.0,10.0,9.0,9.0,$75.00,West Town
134,697634,0.2734112903225807,124,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$137.00,Near North Side
135,699284,0.2490571428571428,35,95.0,9.0,9.0,10.0,10.0,10.0,9.0,$800.00,Lincoln Park
136,709690,0.25825,4,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$115.00,Near South Side
137,709870,0.24036065573770488,61,79.0,9.0,8.0,9.0,9.0,6.0,8.0,$99.00,Humboldt Park
138,713431,0.2670045045045045,222,87.0,9.0,8.0,9.0,9.0,8.0,9.0,$119.00,West Town
139,722570,0.2654,15,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$139.00,Lincoln Square
140,724656,0.34932812500000004,64,91.0,9.0,9.0,9.0,9.0,9.0,9.0,$35.00,West Town
141,724895,0.30425531914893617,47,86.0,9.0,8.0,10.0,10.0,9.0,9.0,$44.00,West Town
142,726376,0.29466226912928756,379,93.0,9.0,9.0,10.0,10.0,10.0,9.0,$99.00,Lake View
143,727847,0.30541176470588244,51,86.0,8.0,8.0,9.0,9.0,9.0,8.0,$60.00,Logan Square
144,731232,0.29188235294117637,102,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$185.00,Logan Square
145,732569,0.28056989247311825,93,88.0,9.0,9.0,9.0,9.0,8.0,9.0,$119.00,Lower West Side
146,732746,0.2836352201257862,159,90.0,9.0,8.0,10.0,10.0,10.0,9.0,$85.00,Avondale
147,736359,0.284372093023256,258,89.0,9.0,9.0,9.0,10.0,9.0,9.0,$55.00,Near West Side
148,736366,0.27767320261437906,306,89.0,9.0,9.0,9.0,10.0,9.0,9.0,$55.00,Near West Side
149,736377,0.26661344537815135,238,88.0,9.0,9.0,9.0,9.0,9.0,9.0,$48.00,Near West Side
150,739495,0.2877777777777777,108,97.0,10.0,10.0,10.0,10.0,9.0,10.0,$95.00,Lincoln Square
151,753896,0.3145862068965517,29,96.0,10.0,10.0,10.0,10.0,10.0,9.0,$155.00,West Town
152,760827,0.112,1,60.0,8.0,10.0,8.0,10.0,6.0,4.0,$105.00,Grand Boulevard
153,764856,0.35992982456140354,57,97.0,10.0,10.0,10.0,10.0,10.0,9.0,$159.00,Near West Side
154,772822,0.24767857142857155,84,89.0,9.0,8.0,10.0,10.0,9.0,9.0,$95.00,Uptown
155,773127,0.3102100840336135,119,96.0,10.0,10.0,10.0,10.0,10.0,10.0,$84.00,North Center
156,780336,0.3235714285714285,105,95.0,10.0,9.0,10.0,10.0,10.0,9.0,$70.00,West Town
157,783359,0.394375,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$103.00,Lake View
158,787935,0.2311944444444444,36,91.0,10.0,9.0,9.0,9.0,9.0,9.0,$100.00,Logan Square
159,789867,0.30921276595744684,94,94.0,9.0,9.0,10.0,10.0,10.0,9.0,$20.00,Lincoln Square
160,790934,0.32634745762711864,118,93.0,9.0,9.0,10.0,10.0,9.0,9.0,$40.00,West Ridge
161,802613,0.3280377358490566,53,94.0,10.0,9.0,10.0,10.0,9.0,9.0,$75.00,West Town
162,810974,0.3382727272727272,44,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$50.00,Rogers Park
163,817994,0.3346746987951807,83,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$125.00,West Town
164,821036,0.3056470588235293,34,95.0,9.0,9.0,10.0,10.0,10.0,9.0,$124.00,Loop
165,822313,0.2463617021276596,94,86.0,9.0,8.0,10.0,10.0,9.0,9.0,$60.00,Lower West Side
166,824518,0.2906428571428571,70,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$144.00,West Town
167,848156,0.31639226519337016,181,95.0,10.0,10.0,9.0,9.0,10.0,9.0,$99.00,Near North Side
168,851443,0.3112601156069364,173,93.0,10.0,9.0,10.0,10.0,9.0,9.0,$100.00,Logan Square
169,861786,0.29116374269005835,171,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$54.00,Near West Side
170,863120,0.3023529411764706,34,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$89.00,Lincoln Park
